id,name,price,stock,discount,description,categoryId,createdAt,updateAt,deleteAt
15,Caja Portátil para Mascotas,12500,23,50,"Sorprendentemente espacioso y con unas medidas de 42x28x32cm, ¡nuestros transportadores son perfectos para animales que pesen hasta 15 kilos! Un mango de agarre suave hace que sea fácil de sostener.",1,,,
16,Casa para Mascotas,14600,3,55,"Casa de felpa para mascotas: hemos diseñado estas casas de interior para perros y gatos utilizando tela de poliéster de alta calidad y forro de espuma de poliéster suave.",3,,,
17,Cama para Perro Calentita Doble Vista,9000,13,32,"Doble vista reversible para todo el año. Lavable en casa.
Medidas: CHICA 58 x 41 cm, MEDIANA 75 x 60 cm, GRANDE 80 x 70 cm",3,,,
18,Jaula de dos niveles grande,16000,4,45,Hecho de alambre de metal duradero con cierre de acero inoxidable con un acabado negro de capa electrónica para evitar el óxido,1,,,
19,Plato de Acero,600,34,5,"Apto para alimento seco, húmedo o líquidos. Con plástico antiderrapante color negro en la base. Altamente durable y resistente.",1,,,
20,Cuenco de Comida Lenta,700,84,10,"los tazones para perros tienen huesos para extender las comidas para ayudar a reducir el tiempo de comida de su perro.",1,,,
21," Plato Plegable para Viaje",760,74,5,"Se limpia fácilmente y puedes usarlo para agua o para alimento. Ideal para viajes o paseos. Incluye gancho de sujeción. Medidas: 13 cm de diámetro. 5.5 cm de altura máxima.",1,,,
22,"Alimentador de Semillas para Aves",4000,13,6,"Seis estaciones de alimentación con percha. Depósito transparente para un fácil control de los niveles de semilla. Fácil de llenar y limpiar.",1,,,
23,Bandeja colgante para pájaros,6000,3,25,Diseño funcional: la bandeja de comedero para pájaros está diseñada para atraer la atención de los pájaros y no se volverá cuando los pájaros se mantengan en el lateral del comedero para pájaros para alimentos.,1,,,
24,Placas de Identificación para Perros Gatos,1200,136,30,Personalizadas Encantador Símbolos Collares Accesorio para Mascotas Nombre Sencillo Personalizado,1,,,
25,"Torre Play Juguete para Gato",1400,26,10, Los 2 para gato Play de Fancy Pets están diseñados para fomentar el instinto cazador de tu pequeño felino.,2,,,
26,Rascador Para Gato,4580,6,5," El poste rascador de Carpentarias ofrece la oportunidad de que su gato juegue, explore, arañe o simplemente se relaje. Al contar con un poste rascador evita que su gato quiera afilar sus uñas en sus muebles o alfombras.",1,,,
27,Bola de pared con hierba gatera,800,42,5," la bola favorita de los tres gatos se coloca en la placa de la muesca, cada una de las cuales se puede quitar pero usar sola",1,,,
28,Cepillo para perro,3000,6,10,"cepillo ideal para dejar el manto de tu mascota suave y sedoso. Sus materiales permiten remover el pelo muerto sin lastimar la piel de la mascota.",1,,,
29," kit cepillo, corta úñas, peine",5000,22,20," obtén herramientas esenciales de aseo para perros y gatos en una sola pasada. Este juego incluye un cepillo para desenredar, peine de acero inoxidable y cortaúñas para mascotas de alta resistencia.",1,,,
30,"Botella de Agua para Perros, 3 en 1",6200,32,25,"Un nuevo tipo de vaso de agua de viaje para mascotas multifuncional y ecológico, botella de agua multifuncional para mascotas que integra un vaso portátil para beber, una pala para caca y una bolsa de recolección de basura.",1,,,
